"q21","How many total prescription medications are you currently taking? (Please insert number)","n =  299  avg =  5.21"
"response","count","percent_responded"
"0","35","11.71"
"3","35","11.71"
"1","34","11.37"
"4","34","11.37"
"2","27","9.03"
"6","26","8.7"
"5","20","6.69"
"7","20","6.69"
"8","15","5.02"
"10","10","3.34"
"9","10","3.34"
"12","6","2.01"
"11","5","1.67"
"14","5","1.67"
"15","3","1"
"30","3","1"
"13","2","0.67"
"16","2","0.67"
"18","2","0.67"
"20","2","0.67"
"17","1","0.33"
"19","1","0.33"
"21","1","0.33"
