"q48","What are your general thoughts regarding the legalization of cannabis?","n =  554"
"response","count","percent_responded"
"About time","6","1.08"
"I think it should be legal","3","0.54"
"Very happy","3","0.54"
"yes","3","0.54"
"about time","2","0.36"
"About time!","2","0.36"
"All for it","2","0.36"
"do it","2","0.36"
"Do it","2","0.36"
"I am all for it","2","0.36"
"It's about time","2","0.36"
"It's about time!","2","0.36"
"It should be legalized","2","0.36"
"legalize it","2","0.36"
"Legalize it","2","0.36"
"Long overdue","2","0.36"
"Long overdue!","2","0.36"
"Long overdue.","2","0.36"
"make it legal","2","0.36"
"pro","2","0.36"
"Should be legal","2","0.36"
"Yes","2","0.36"
"100% agree in medical use, want to see it legal for medical at the Federal level.  If it is legal for recreational use, users need to be at least 25 as it seems to have negative side effects more on a developing brain.  It is a lot safer than alcohol, but especially with a younger brain, it is not innocuous. ","1","0.18"
"100% for it","1","0.18"
"100% for legalization ","1","0.18"
"100% positive.","1","0.18"
"50 years overdue.","1","0.18"
"About bloody time ","1","0.18"
"About time ","1","0.18"
"About time !!","1","0.18"
"about time mass. still dragged its feet set up for rich only","1","0.18"
"About time!  Of course, I am in Canada :)","1","0.18"
"About time. Time to fight Big Pharma and make it federally legal so the V.A. could dispense it.","1","0.18"
"Agree","1","0.18"
"Alcohol is legal, and I consider them to be equal for recreational use.  I like that laws are being made to ensure safety.  I will continue to use my dispensary.","1","0.18"
"all for it","1","0.18"
"All for national legalization","1","0.18"
"all in","1","0.18"
"All in!!!","1","0.18"
"an idea who's time is thankfully here","1","0.18"
"as long as people respect others and not go bonkers, it might be OK.","1","0.18"
"Awesome","1","0.18"
"awesome ","1","0.18"
"awesome finally not a criminal love it and to the haters.i sing this song!!! LET IT GO!!! LET IT GO!!!! THE WEED IS FINALLY FREE YEAH!!!!!!!! ABOUT TIME!!!!! ","1","0.18"
"AWESOME SAUCE!!!!!","1","0.18"
"Awesome.i have been hiding for 40 years","1","0.18"
"Based on recommendations from the Shafer Report, legalization should have happened in 1972 ","1","0.18"
"Been an advocate for a long time","1","0.18"
"Been too long for legalization ","1","0.18"
"Best news ever!!","1","0.18"
"Best thing ever!!!! I am saving the insurance company $4000.00 a month, costing me $600.00.  But never felt better.","1","0.18"
"best thing that has happened in years","1","0.18"
"Best thing they ever did.  It's helping a lot of people and that's what it's all about!","1","0.18"
"Better than alcohol/pills","1","0.18"
"Bout damn time","1","0.18"
"can help many people , and cannabis users are usually good Americans just trying to get by in life.","1","0.18"
"Cannabis being sold from the dispensary will have been controlled vs what we call 'street weed' that can have foreign substances in them without your knowledge","1","0.18"
"Cannabis is most probably the best Healing Herb given to us by Nature. The medicinal use of cannabis extracts/tincture/oils is as far as I’m concerned my human right. The blatant disregard towards the health and general well being of humankind by governments and money making pharmaceutical industries, is criminal.","1","0.18"
"Cannabis needs to be legalized in all states to remove the current stigma, allowing people to investigate the possible use and health benifits without negative consequence.   ","1","0.18"
"Cannabis should be legal for medicinal and recreational use","1","0.18"
"Cannabis should be legal in the USA and in the world.","1","0.18"
"Cannabis should be legal to buy and grow everywhere in the world","1","0.18"
"Cannabis should be legal.  If you don't like it, don't use it.","1","0.18"
"Cannabis should be legalized federally across-the-board alcohol should be outlawed","1","0.18"
"Cannabis should be legalized.","1","0.18"
"Cannabis should never have been illegal. It should be completely legal right now.","1","0.18"
"Cannabis should not have been prohibited. The public has been deprived of a natural substance that is perfect for the human body to use to keep all systems in balance,","1","0.18"
"CBD Oil has saved me from opioid usage..... I was sufferring for years with nothng but pharma meds, I was more sicker using pharma meds. As soon as I started using CBD Oil that all changed. It has helped me so much have a life I can finally live. It should be legalized, however it should also be regulated. To many companies out there trying to jump on the train when their products are crap. I get my oil from a reputable company no fillers CO2 processing and FDA approved facility. Education is needed all around for many so they are not taken advantage of. ","1","0.18"
"complete legalization in the usa, age restrictions and penalties for overuse","1","0.18"
"Complete legalization!","1","0.18"
"completely supportive. it's about time. ","1","0.18"
"Cool","1","0.18"
"Crazy that it took so many years. I love having legal access.","1","0.18"
"Decriminalize at the federal level as week as state - allow a 12 plant per person growing privilege and employ the jails please. I am against it being regulated and genetically modified thru the big pharmaceutical corps. ","1","0.18"
"definitely in favor of legalization and decriminalization including retro-actively for those with cannabis possession felony charges","1","0.18"
"Definitely legalize it, since it helps alleviate pain.9","1","0.18"
