"q46","Please rate the severity of the side effects you have faced with prescription medications compared to cannabis treatments:","n =  32  avg =  31.156"
"response","count","percent_responded"
"0","6","18.75"
"100","2","6.25"
"2","2","6.25"
"10","1","3.12"
"14","1","3.12"
"16","1","3.12"
"17","1","3.12"
"18","1","3.12"
"19","1","3.12"
"21","1","3.12"
"22","1","3.12"
"27","1","3.12"
"32","1","3.12"
"34","1","3.12"
"36","1","3.12"
"38","1","3.12"
"42","1","3.12"
"44","1","3.12"
"47","1","3.12"
"49","1","3.12"
"55","1","3.12"
"6","1","3.12"
"64","1","3.12"
"83","1","3.12"
"99","1","3.12"
