"q20","What types of prescription medications are you currently taking for the health conditions and symptoms you face? (Please select all that apply)","n =  87"
"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","39","44.83"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","37","42.53"
"Anti-inflammatories","34","39.08"
"Other (please specify)","22","25.29"
"Muscle relaxants","21","24.14"
"Statins (e.g. Lipitor, Crestor)","21","24.14"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","17","19.54"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","16","18.39"
"Beta Blockers","15","17.24"
"I don’t take any prescription medications","15","17.24"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","12","13.79"
"Steroids, including steroid creams","9","10.34"
"Antihypertensives","8","9.2"
"Antipsychotics (e.g. Abilify, Seroquel)","7","8.05"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","7","8.05"
"Insulin","5","5.75"
"Proton pump inhibitors","5","5.75"
"Sedatives/hypnotics","5","5.75"
"Antimigraine","4","4.6"
"Hormone replacement therapy (HRT)","3","3.45"
"Barbiturates (e.g. Floricet)","1","1.15"
