"response","count","percent_responded"
"Some college, no degree","188","33.27"
"Bachelor's degree","111","19.65"
"Associate's degree","93","16.46"
"High school degree or equivalent (GED)","72","12.74"
"Master's degree","54","9.56"
"Vocational degree","30","5.31"
"Professional degree (MD, JD, DDS, DVM)","8","1.42"
"Doctorate (Ph.D, Ed.D, etc)","6","1.06"
"Less than high school diploma","3","0.53"
"What is the highest degree or level of school you have completed? (If you're currently enrolled in school, please indicate the highest degree you have received.)","What is the highest degree or level of school you have completed? (If you're currently enrolled in school, please indicate the highest degree you have received.)","What is the highest degree or level of school you have completed? (If you're currently enrolled in school, please indicate the highest degree you have received.)"
