"q11","How do you prefer to use cannabis? Please select all that apply.","n =  442"
"response","count","percent_responded"
"Smoke flower","299","67.65"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","241","54.52"
"Vape cartridges","230","52.04"
"Tinctures","193","43.67"
"Salves/topicals","155","35.07"
"Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","144","32.58"
"Vape flower","130","29.41"
"Capsules","74","16.74"
"Transdermal patches","33","7.47"
"Suppositories","14","3.17"
"Other (please specify)","9","2.04"
