"q13","Where are the locations of your pain (please check all that apply)","n =  80"
"response","count","percent_responded"
"Lower back","67","83.75"
"General joint pain","44","55"
"Knee","44","55"
"Leg","35","43.75"
"Hips","34","42.5"
"Neck","34","42.5"
"Upper back","32","40"
"Shoulder","27","33.75"
"Head/headache","26","32.5"
"Foot","20","25"
"Generalized muscle pain","20","25"
"Hand","19","23.75"
"Wrist","19","23.75"
"Buttocks","16","20"
"Arm","13","16.25"
"Abdomen","11","13.75"
"Full body","10","12.5"
"Other (please specify)","6","7.5"
"Mouth/dental pain","5","6.25"
"Stomach","5","6.25"
"Chest","3","3.75"
"Face","3","3.75"
"Genitalia","3","3.75"
"Rectum","1","1.25"
