"q20","What types of prescription medications are you currently taking for the health conditions and symptoms you face? (Please select all that apply)","n =  133"
"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","61","45.86"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","59","44.36"
"Anti-inflammatories","46","34.59"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","36","27.07"
"Muscle relaxants","36","27.07"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","31","23.31"
"Other (please specify)","30","22.56"
"Statins (e.g. Lipitor, Crestor)","28","21.05"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","27","20.3"
"I don’t take any prescription medications","22","16.54"
"Steroids, including steroid creams","20","15.04"
"Antihypertensives","16","12.03"
"Antipsychotics (e.g. Abilify, Seroquel)","11","8.27"
"Sedatives/hypnotics","11","8.27"
"Antimigraine","10","7.52"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","8","6.02"
"Proton pump inhibitors","7","5.26"
"Insulin","6","4.51"
"Beta Blockers","5","3.76"
"Hormone replacement therapy (HRT)","5","3.76"
"Antiemetics","3","2.26"
"Barbiturates (e.g. Floricet)","3","2.26"
