"q48","What are your general thoughts regarding the legalization of cannabis?","n =  241"
"response","count","percent_responded"
"Positive ","3","1.24"
"About time","2","0.83"
"Good","2","0.83"
"Legalize it","2","0.83"
"pro","2","0.83"
"Pro","2","0.83"
"yes","2","0.83"
"100 for it","1","0.41"
"100% agree in medical use, want to see it legal for medical at the Federal level.  If it is legal for recreational use, users need to be at least 25 as it seems to have negative side effects more on a developing brain.  It is a lot safer than alcohol, but especially with a younger brain, it is not innocuous. ","1","0.41"
"100% in favor!!","1","0.41"
"100% needs to happen, stigma needs to be eliminated ","1","0.41"
"100% positive.","1","0.41"
"50/50 I want it to happen but I don’t want the standardization to limit quality. ","1","0.41"
"About bloody time ","1","0.41"
"About time ","1","0.41"
"About time!","1","0.41"
"About time!  Of course, I am in Canada :)","1","0.41"
"All for it","1","0.41"
"All for it. While there should always be a medical component, it should be as legal as tomatoes. (People grow their own, but yet there is still a tomato industry...)","1","0.41"
"As a medical patient I find access awesome but some of the dispensaries are more strict than others. SERA naturals for example is like fort nox and I feel as though I'm being treated like a criminal in there. Also, some of the workers at dispensaries (NETA) get personally offended if you don't like their product even if it is objectively not of good quality. It takes a bit to find places that have all around great quality products and selection. So far Revolutionary Clinics is my favorite but their edible selection isn't great.","1","0.41"
"As a Veteran with PTSD in a state where it isn't legal, I have to watch friends die due to opioid addictions rather than allow them to smoke a plant. Where is the logic in that? I don't smoke to get ""high"", I smoke to get ""normal"".  I am off of over 15 drugs with cannabis and I can be a father. Where on the ""legal"" drugs I was a zombie","1","0.41"
"As long as it doesn't interrupt the supply to people with medical cards I'm all for it.","1","0.41"
"Based on recommendations from the Shafer Report, legalization should have happened in 1972 ","1","0.41"
"Big supporter especially in the age of opioid abuse and the reluctance of medical providers to prescribe opioid for real, actual and accute every day pain","1","0.41"
"Bring it on! ","1","0.41"
"can help many people , and cannabis users are usually good Americans just trying to get by in life.","1","0.41"
"Cannabis should be legal for medicinal and recreational use","1","0.41"
"Cannabis should be legal to buy and grow everywhere in the world","1","0.41"
"Cannabis should never have been illegal. It should be completely legal right now.","1","0.41"
"complete legalization in the usa, age restrictions and penalties for overuse","1","0.41"
"Complete legalization!","1","0.41"
"Cool","1","0.41"
"Crazy that it took so many years. I love having legal access.","1","0.41"
"Definitely legalize it, since it helps alleviate pain.9","1","0.41"
"Excellent idea...can't believe it has taken so long.  I'm 53  And this should have been done by the time I was 18.","1","0.41"
"Extremely supportive of the safer option to pain management.","1","0.41"
"Finally!","1","0.41"
"Good but regulations are troubling in Maine.","1","0.41"
"Good for the culture","1","0.41"
"Gov't shouldn't tell people what they can and cannot ingest.","1","0.41"
"Great","1","0.41"
"happening way too slowly. stop restricting access","1","0.41"
"Happy","1","0.41"
"Hope it will be legalized nationally ","1","0.41"
"Hopefully it will bring prices down and be more easily available.","1","0.41"
"I'm all for it.  It's part of my and so many others regimen of good health. ","1","0.41"
"I'm for it and wish it was legal here. I think it will be legal in all states soon.  So far I have been able to find it here.  I'd LOVE to grow my own, and I would if it was legal here.","1","0.41"
"I'm happy that somehow is legal in my state, but the laws are still behind especially in the case of people that is working, it also need to cover more deseases  and needs to be more protection for parents of children that need the product.","1","0.41"
"I am a firm believer in legalizing cannabis","1","0.41"
"i am all for it. alternatives to big pharma are a good thing. i am so glad i lived to see the day that big pharmaceuticals is not in charge anymore!","1","0.41"
"I am all for national legalization ","1","0.41"
"I am for it since nothing better helps my medical issues","1","0.41"
"I am grateful it is finally legalized, but sincerely hope more is done in reparations for the communities disproportionally impacted by the ban and later racism-fuled ""war on drugs"".   ","1","0.41"
"I am happy with it.  Although I feel people need to understand having legal access to it does not mean I can be high all the time.  ","1","0.41"
"I am hopeful it will benefit the general population and happy that we are finally at this point.","1","0.41"
"I am very pleased to see recreational marijuana legalized in my lifetime.","1","0.41"
"I believe it is a good idea ","1","0.41"
"I believe it is necessary for the healing of our humanity.  It's coming. ","1","0.41"
"I believe it should be 100% legal and regulated like alcohol, and everybody should be allowed to grow their own.","1","0.41"
"I believe it should be legalized. It helps alot of people that suffer from pain, anxiety,ptsd, parkinsons. Its unreal how it helps","1","0.41"
"I believe its great that cannabis is more accessible once it is legalized. However, I wish there were more opportunities for individuals without money or political power to establish businesses and benefit from the legal market","1","0.41"
"I believe legalizing cannabis is very important for the medical side, so in the future to get it out of a schedule one designation.  Need for insurance company's to cover the costs.","1","0.41"
"I can't wait to freely purchase cannabis edibles for my anxiety. A friend of mine is currently making the eatables for me.","1","0.41"
"I can't wait!","1","0.41"
"I don't like the Rec side of it in CA. ","1","0.41"
"I fear for caregivers, as we are the ones making sure those without income are getting their meds and recommendations . We should be allowed more patients .","1","0.41"
"I feel it's long overdue but I worry about over regulation and big corporations taking over and lowering quality and accessibility in order to profit. ","1","0.41"
"I feel it should be federally legal across the country","1","0.41"
"I feel we have been deceived and manipulated and abused by our government.","1","0.41"
"I fell is less dangerous than alcohol","1","0.41"
"I hope it doesn't push the medical program out when the state sees how much money they can make on rec.","1","0.41"
"I hope it drives down prices for medicinal users","1","0.41"
"I hope it happens!! It's so hard for me to get and helps so much.","1","0.41"
"I see no reason that it should be legalized. It is extremely important while going thru chemo.It is extremely helpful with pain. No one ever died from overdose nor fo I deem it additive to lead to opiods","1","0.41"
"I strongly support it.","1","0.41"
"I support both the legalization and the proper, fair taxation of it.","1","0.41"
"I think cannabis could be very beneficial.  However, because it is currently illegal, very little research can happen.","1","0.41"
"I think cannabis has a lot of benefits to prescription drugs and feel they should legalize it in every state   ","1","0.41"
"I think it's great and necessary.","1","0.41"
"I think it's great!","1","0.41"
"I think it's long overdue and hope the government or corporations do not screw it up. I also hope prices come down a little. I hate to have to choose between sleep/pain or spending too much.","1","0.41"
"I think it's the most important next step that needs to happen for a multitude of conditions and struggles. It's also vital that it be de-scheduled so accurate research can happen and everything we know is not based on anecdotal information.","1","0.41"
"i think it is great.. alcohol is far more damaging and socially accepted.. crazy","1","0.41"
"I think it is long overdue, I believe that the effects of lobbying was responsible for and continues to impact legalization of cannabis, and that law enforcement would like to continue to make it illegal for the amount of money generated by its illegal use. ","1","0.41"
"I think it is long overdue.  It has proven to have medicinal properties.  I believe the only reason cannabis has been illegal for so long is because of the control big pharma has over this country.","1","0.41"
"I think it should be legal","1","0.41"
"I think it should be legal everywhere.","1","0.41"
"I think it should be legal in all states.  ","1","0.41"
"I think it should be legal worldwide","1","0.41"
"I think it should be legalized and treated like tobacco.","1","0.41"
"I think it should be legalized so the products can be regulated. Recreational users pretending to be medical patients have shifted the products available towards only high THC products and those aren't always the best products for medical patients. I rarely see products with known cannabinoids and terpenes that have been shown to reduce inflammation and nerve pain. I don't mind if they also use cannabis, but I would like to have more medicinal strains available and more consistency in the products. The wait times and process are also ridiculously long because of the additional people. If we are going to say it is a medicine it needs to be treated as one, but we can also acknowledge that some strains are more for recreational use and others are for medicinal use.   ","1","0.41"
"I think it should be recreationally legal and available to those over the age of 18. And medically available with doctor advisement to those under 18. I firmly believe in cannabis’ medicinal benefits. ","1","0.41"
"I think it was a long time coming. The stigma surrounding cannabis is ridiculous, and the medical benefits have been recognized across the world long before the arbitrary laws were put in place. ","1","0.41"
"I think it was should be regulated like alcohol","1","0.41"
"I think that it is crazy that alcohol is legal over cannabis - LEGALIZE LEGALIZE LEGALIZE ","1","0.41"
"I totally agree it should be legal for over 21","1","0.41"
"I wish it was legal in all 50 states","1","0.41"
"I worry that rec use could increase use by children and others who will not use it responsibly. ","1","0.41"
"I would like it to be legalized and have a cap as to how much money it can cost. And would like big pharma to stay out of it","1","0.41"
"I’m in support of legalization ","1","0.41"
"I’m pretty happy about it and maybe it can reduce stigma","1","0.41"
"I’m totally for it and want non fellons with marijuana convictions that sent them to prison be set free.","1","0.41"
"I’m very pleased with it. I feel necessary for so many people and certainly less harmful than prescription medications I was on for chronic pain. ","1","0.41"
"If not legalized it should be classified at a different level","1","0.41"
"In favor","1","0.41"
"It's about *@#!*$! Time!!!!!!!!!!!!","1","0.41"
"It's about time!","1","0.41"
"It's about time!!!  ","1","0.41"
"it's about time...","1","0.41"
"It's been way too long!  Canada is ahead of the U.S. per usual","1","0.41"
"It's far safer than alcohol and if not smoked has definite health benefits.","1","0.41"
"It's great, about time and very effective. ","1","0.41"
"It's insane that cannabis is illegal. Prohibition is a terrible policy for almost anything, but especially something that is either benign or beneficial as cannabis is. Legalization needs to happen so that innocent people stop being punished and so that use of a relatively harmless substance stops being a way for private prisons to profit off of what is essentially slave labor.     Not to mention giant pharmaceutical companies pushing meds, opioid epidemic destroying communities and fammilies, alcohol abuse affecting quality of life/public safety, etc. The list goes on forever and I'm sure you've heard it all.     Bottom line, cannabis should never have been outlawed and the fact that it can't even be studied is a travesty. ","1","0.41"
"It's not legalization, it's only taxation","1","0.41"
"It's silly that its still a battle.  This should be legal and way less of a big deal.","1","0.41"
"It's stupid not to. It removes the social problems of drug dealers violent crime and is wildly profitable for states that tax the product. ","1","0.41"
"It aligns with the needs of the humans race. - NA","1","0.41"
"It can't happen quicker! I was an alcoholic. If I had tried cannabis I wouldn't have been. The last decade of my life would have been better! And now I'm using it to try to save my life. The irony","1","0.41"
"It comes from the earth... ","1","0.41"
"It has helped my life tremendously ","1","0.41"
"It is a good thing. ","1","0.41"
"It is a sacred plant, and should be legalized.  It is unfortunate that our government is so mis-informed.  ","1","0.41"
"It is about time, alchohal is far more dangerous. This should never have happened, we have wasted Billions of dollars fighting a battle on drugs, that failed misreavly. All the while creating a true drug problem legally in America through big pharma.thousands have died and gone to jail over marijuana and the truth is it should have been legal and a priority med over opiates and all other drugs. This should be addressed and made right asap.","1","0.41"
