"q54","What percent of your monthly purchases are through regulated sources (dispensary, retail establishment, caregiver/authorized private cultivator)?","n =  79  avg =  72.278"
"response","count","percent_responded"
"100","40","50.63"
"0","8","10.13"
"50","5","6.33"
"75","4","5.06"
"10","2","2.53"
"30","2","2.53"
"90","2","2.53"
"99","2","2.53"
"1","1","1.27"
"12","1","1.27"
"19","1","1.27"
"2","1","1.27"
"25","1","1.27"
"26","1","1.27"
"32","1","1.27"
"43","1","1.27"
"82","1","1.27"
"86","1","1.27"
"89","1","1.27"
"93","1","1.27"
"95","1","1.27"
"97","1","1.27"
