"q45","What prescription medications are you currently taking for the health conditions and symptoms you face that you are actively trying to reduce the use of by using cannabis? (Please select all that apply)","n =  174"
"response","count","percent_responded"
"I don’t take any medications","103","59.2"
"I'm not trying to reduce any medication use","74","42.53"
"I have reduced my prescription medication use in the past","21","12.07"
"Other (please specify)","12","6.9"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","9","5.17"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","9","5.17"
"Anti-inflammatories","4","2.3"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","4","2.3"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","4","2.3"
"Statins (e.g. Lipitor, Crestor)","3","1.72"
"Antipsychotics (e.g. Abilify, Seroquel)","1","0.57"
"Beta Blockers","1","0.57"
"Muscle relaxants","1","0.57"
"Sedatives/hypnotics","1","0.57"
"Steroids, including steroid creams","1","0.57"
