"q40","What symptoms do you find medical cannabis is most helpful in treating/alleviating? (Please select all that apply)","n =  85"
"response","count","percent_responded"
"Sleep/insomnia","50","58.82"
"Pain","49","57.65"
"Anxiety/panic attacks","39","45.88"
"Depression/mood","39","45.88"
"Aggression","26","30.59"
"Headache","23","27.06"
"Attention/concentration","22","25.88"
"Inflammation","21","24.71"
"Spasms","18","21.18"
"Appetite/weight","14","16.47"
"Nausea/vomiting","10","11.76"
"Respiratory","7","8.24"
"Skin conditions","6","7.06"
"Other (please specify)","5","5.88"
"Ocular pressure","3","3.53"
"Drug withdrawal","2","2.35"
"Mania/psychosis","2","2.35"
