"q47","How do you prefer to use cannabis? (Please select all that apply)","n =  144"
"response","count","percent_responded"
"Smoke flower","105","72.92"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","87","60.42"
"Vape cartridges","79","54.86"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","54","37.5"
"Vape flower","47","32.64"
"Tinctures","41","28.47"
"Salves/topicals","30","20.83"
"Capsules","18","12.5"
"Transdermal patches","8","5.56"
"Suppositories","6","4.17"
"Other (please specify)","5","3.47"
