"q5","Which of the following health conditions do you face and/or have been diagnosed with? (Please select all that apply)","n =  87"
"response","count","percent_responded"
"Anxiety","64","73.56"
"Chronic pain","61","70.11"
"Depression","59","67.82"
"Posttraumatic stress disorder (PTSD)","54","62.07"
"Insomnia","37","42.53"
"Arthritis","33","37.93"
"Hypertension","23","26.44"
"Obesity","20","22.99"
"Gastrointestinal/digestive system disorders","17","19.54"
"Other (please specify)","17","19.54"
"Reflux esophagitis","17","19.54"
"Attention deficit/hyperactivity disorder (ADHD)","16","18.39"
"Allergies","14","16.09"
"Substance abuse/addiction","14","16.09"
"Cancer","11","12.64"
"Diabetes","9","10.34"
"Respiratory problems","9","10.34"
"Cardiovascular disease","8","9.2"
"Eczema","8","9.2"
"Inflammatory bowel disease (IBD)","8","9.2"
"Bipolar/manic depression","6","6.9"
"Fibromyalgia/myositis","6","6.9"
"Epilepsy","3","3.45"
"Autism","1","1.15"
"Multiple sclerosis","1","1.15"
