"q20","What types of prescription medications are you currently taking for the health conditions and symptoms you face? (Please select all that apply)","n =  174"
"response","count","percent_responded"
"I don’t take any prescription medications","95","54.6"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","61","35.06"
"Other (please specify)","36","20.69"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","28","16.09"
"Anti-inflammatories","22","12.64"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","20","11.49"
"Statins (e.g. Lipitor, Crestor)","20","11.49"
"Muscle relaxants","11","6.32"
"Antihypertensives","10","5.75"
"Beta Blockers","7","4.02"
"Antipsychotics (e.g. Abilify, Seroquel)","6","3.45"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","6","3.45"
"Insulin","6","3.45"
"Sedatives/hypnotics","6","3.45"
"Steroids, including steroid creams","6","3.45"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","5","2.87"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","4","2.3"
"Antimigraine","3","1.72"
"Hormone replacement therapy (HRT)","2","1.15"
"Proton pump inhibitors","2","1.15"
"Barbiturates (e.g. Floricet)","1","0.57"
