"q45","What prescription medications are you currently taking for the health conditions and symptoms you face that you are actively trying to reduce the use of by using cannabis? (Please select all that apply)","n =  87"
"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","31","35.63"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","30","34.48"
"I have reduced my prescription medication use in the past","21","24.14"
"Anti-inflammatories","19","21.84"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","18","20.69"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","18","20.69"
"Muscle relaxants","17","19.54"
"I don’t take any medications","11","12.64"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","9","10.34"
"Beta Blockers","8","9.2"
"Other (please specify)","7","8.05"
"Statins (e.g. Lipitor, Crestor)","7","8.05"
"I'm not trying to reduce any medication use","6","6.9"
"Sedatives/hypnotics","5","5.75"
"Antihypertensives","4","4.6"
"Steroids, including steroid creams","4","4.6"
"Antipsychotics (e.g. Abilify, Seroquel)","3","3.45"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","3","3.45"
"Barbiturates (e.g. Floricet)","2","2.3"
"Proton pump inhibitors","2","2.3"
"Antiemetics","1","1.15"
"Antimigraine","1","1.15"
"Hormone replacement therapy (HRT)","1","1.15"
"Insulin","1","1.15"
