"q10","Are you actively trying to reduce your prescription medication intake using cannabis? Please select all that apply.","n =  242"
"response","count","percent_responded"
"NSAID/non-opioid analgesics","242","100"
"Muscle relaxants","78","32.23"
"Antidepressants","75","30.99"
"Narcotics/opioids","74","30.58"
"Anxiolytics/Benzodiazepines","63","26.03"
"Sedatives/hypnotics","36","14.88"
"Antimigraine","35","14.46"
"Other (please specify)","17","7.02"
"Antipsychotics","15","6.2"
"Proton pump inhibitors","14","5.79"
"Other (please specify below)","13","5.37"
"Anti-convulsants","9","3.72"
