"q61","Do you face any of the following barriers for you to consume cannabis (Please select all that apply)","n =  266"
"response","count","percent_responded"
"Money to purchase products","144","54.14"
"Access to the right products","124","46.62"
"Owning a firearm","102","38.35"
"Stigma","98","36.84"
"Workplace testing or other policies","95","35.71"
"Money required to get medical card","87","32.71"
"Place to consume cannabis","76","28.57"
"Lack of knowledge","40","15.04"
"Other (please specify)","25","9.4"
"Previous bad experience","7","2.63"
