"q13","Where are the locations of your pain (please check all that apply)","n =  88"
"response","count","percent_responded"
"Lower back","65","73.86"
"Knee","47","53.41"
"Neck","46","52.27"
"Shoulder","43","48.86"
"Leg","39","44.32"
"General joint pain","36","40.91"
"Hips","31","35.23"
"Head/headache","30","34.09"
"Generalized muscle pain","27","30.68"
"Foot","24","27.27"
"Hand","24","27.27"
"Upper back","24","27.27"
"Wrist","24","27.27"
"Arm","22","25"
"Buttocks","12","13.64"
"Abdomen","9","10.23"
"Full body","9","10.23"
"Mouth/dental pain","8","9.09"
"Stomach","7","7.95"
"Chest","6","6.82"
"Face","5","5.68"
"Other (please specify)","5","5.68"
"Rectum","2","2.27"
"Genitalia","1","1.14"
