Q#45,What prescription medications are you currently taking for the health conditions and symptoms you face that you are actively trying to reduce the use of by using cannabis? (Please select all that apply),
,,
chosen,count,percent_responded
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)",65,32.34%
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)",53,26.37%
Anti-inflammatories,39,19.40%
I'm not trying to reduce any medication use,39,19.40%
I have reduced my prescription medication use in the past,39,19.40%
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)",36,17.91%
I don't take any medications,32,15.92%
Muscle relaxants,32,15.92%
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)",27,13.43%
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)",27,13.43%
"Statins (e.g. Lipitor, Crestor)",11,5.47%
Sedatives/hypnotics,10,4.98%
Antihypertensives,7,3.48%
"Antipsychotics (e.g. Abilify, Seroquel)",7,3.48%
Beta Blockers,7,3.48%
Other (please specify),7,3.48%
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)",7,3.48%
"Steroids, including steroid creams",6,2.99%
Antimigraine,5,2.49%
Proton pump inhibitors,5,2.49%
Barbiturates (e.g. Floricet),4,1.99%
Antiemetics,1,0.50%
Hormone replacement therapy (HRT),1,0.50%
