"q33","On average, how much do you pay (in US dollars) for your medications on a monthly basis out of pocket?","n =  148  avg =  73.703"
"response","count","percent_responded"
"0","57","38.51"
"100","9","6.08"
"10","8","5.41"
"20","6","4.05"
"200","6","4.05"
"50","6","4.05"
"25","5","3.38"
"40","5","3.38"
"150","4","2.7"
"30","4","2.7"
"400","4","2.7"
"15","3","2.03"
"250","3","2.03"
"500","3","2.03"
"75","3","2.03"
"5","2","1.35"
"55","2","1.35"
"60","2","1.35"
"600","2","1.35"
"8","2","1.35"
"80","2","1.35"
"1","1","0.68"
"140","1","0.68"
"16","1","0.68"
"195","1","0.68"
"300","1","0.68"
"4","1","0.68"
"45","1","0.68"
"56","1","0.68"
"70","1","0.68"
"700","1","0.68"
