"q61","Do you face any of the following barriers for you to consume cannabis (Please select all that apply)","n =  293"
"response","count","percent_responded"
"Money to purchase products","165","56.31"
"Access to the right products","132","45.05"
"Stigma","99","33.79"
"Money required to get medical card","91","31.06"
"Owning a firearm","88","30.03"
"Workplace testing or other policies","75","25.6"
"Place to consume cannabis","62","21.16"
"Lack of knowledge","50","17.06"
"Other (please specify)","27","9.22"
"Previous bad experience","6","2.05"
