"q28","Since the COVID-19 pandemic started, has 
any of the following impacted your life? 
Check all that apply.","n =  119"
"response","count","percent_responded"
"Practicing social distancing","84","70.59"
"Feeling nervous, on edge","78","65.55"
"Trouble relaxing","72","60.5"
"Worried about contracting COVID","68","57.14"
"Worrying too much","66","55.46"
"Unable to leave the house due to stay-at-home orders","65","54.62"
"Worried about my health","57","47.9"
"Feeling depressed over the last 5 days","44","36.97"
"Quarantined","28","23.53"
"Lost your job or income","25","21.01"
"Had to learn to home school children","17","14.29"
"Had to move or change my living situation","13","10.92"
"Shown symptoms of COVID-19 unconfirmed by a test","13","10.92"
"Had to take care of elderly family members","11","9.24"
"None of these apply to me","4","3.36"
"Been infected with COVID that was diagnosed by a test","1","0.84"
"Was hospitalized for a non-COVID related health issue","1","0.84"
