"q51","What type of cannabis advertising have you been exposed to in the past 30 days? Please check all that apply.","n =  641"
"response","count","percent_responded"
"Digitally on a cell phone, tablet, or computer (through email, text messages, websites, or social media)","283","44.15"
"Have not seen advertising","217","33.85"
"In magizines or newspapers","147","22.93"
"On billboards","93","14.51"
"On storefronts","76","11.86"
"In pamphlets or flyers","69","10.76"
"At an event, like a concert, fair, rodeo, parade, or similar","66","10.3"
"On the radio","59","9.2"
"On television","39","6.08"
"On street side marketing, like sandwich boards","33","5.15"
"Other (please specify)","28","4.37"
"Other (please specify below)","18","2.81"
"On signs being held by people on sidewalks (sign wavers)","7","1.09"
