"q7","How does cannabis help your daily life? (Please select all that apply)","n =  151"
"response","count","percent_responded"
"Helps with psychological symptoms (e.g. anxiety, stress, calm, sadness, energy)","133","88.08"
"Generally helps with quality of life","128","84.77"
"Helps with physical symptoms (e.g. body pains, function, sensation)","80","52.98"
"Helps to reduce use of alcohol","62","41.06"
"Helps to avoid starting other medicines (including opiates)","48","31.79"
"Helps to reduce use of other prior medicines (non-opiates)","40","26.49"
"Helps to reduce us of tobacco","29","19.21"
"Helps to reduce use of opiates","16","10.6"
"Other (please specify)","9","5.96"
"Does not help my daily life","2","1.32"
