Q#20,What types of prescription medications are you currently taking for the health conditions and symptoms you face? (Please select all that apply),
,,
chosen,count,percent_responded
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)",98,48.76%
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)",71,35.32%
Anti-inflammatories,55,27.36%
"Statins (e.g. Lipitor, Crestor)",46,22.89%
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)",41,20.40%
I don't take any prescription medications,39,19.40%
Other (please specify),35,17.41%
Muscle relaxants,34,16.92%
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)",30,14.93%
Antihypertensives,28,13.93%
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)",25,12.44%
"Steroids, including steroid creams",19,9.45%
Beta Blockers,17,8.46%
Proton pump inhibitors,16,7.96%
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)",12,5.97%
Antimigraine,11,5.47%
"Antipsychotics (e.g. Abilify, Seroquel)",11,5.47%
Sedatives/hypnotics,10,4.98%
Hormone replacement therapy (HRT),7,3.48%
Insulin,6,2.99%
Barbiturates (e.g. Floricet),5,2.49%
Antiemetics,2,1.00%
