"q39","What is the primary health condition for which you find cannabis to be helpful? (Please select one)","n =  419"
"response","count","percent_responded"
"Chronic pain","147","35.08"
"Posttraumatic stress disorder (PTSD)","104","24.82"
"Anxiety","52","12.41"
"Depression","31","7.4"
"Insomnia","26","6.21"
"Arthritis","15","3.58"
"Cancer","9","2.15"
"Bipolar/manic depression","6","1.43"
"Hypertension","5","1.19"
"Diabetes","4","0.95"
"Fibromyalgia/myositis","4","0.95"
"Gastrointestinal/digestive system disorders","4","0.95"
"Substance abuse/addiction","4","0.95"
"Attention deficit/hyperactivity disorder (ADHD)","2","0.48"
"HIV/AIDS","2","0.48"
"Cardiovascular disease","1","0.24"
"Inflammatory bowel disease (IBD)","1","0.24"
"Multiple sclerosis","1","0.24"
"Respiratory problems","1","0.24"
