"q10","Have you experienced any side
effects from using cannabis? 
Please select all that apply.","n =  119"
"response","count","percent_responded"
"Dry mouth","82","68.91"
"Changes in appetite","38","31.93"
"Increased energy","34","28.57"
"Sleepiness/fatigue","33","27.73"
"Memory problems","31","26.05"
"More or less talkative","31","26.05"
"Feeling of being ""altered""","18","15.13"
"Heart racing/palpitations","18","15.13"
"Experienced no side effects","15","12.61"
"Paranoia","15","12.61"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","13","10.92"
"Anxiety","12","10.08"
"Changes in libido","12","10.08"
"Difficultly concentrating","12","10.08"
"Racing thoughts","11","9.24"
"Tough to get started in the morning (lassitude)","11","9.24"
"Dizziness","8","6.72"
"Other (please specify)","8","6.72"
"Apathy","6","5.04"
"Headache","6","5.04"
"Sweating","4","3.36"
"GI changes (e.g. constipation, diarrhea, abdominal discomfort)","3","2.52"
"Nausea","3","2.52"
