"q61","Do you face any of the following barriers for you to consume cannabis (Please select all that apply)","n =  185"
"response","count","percent_responded"
"Money to purchase products","103","55.68"
"Access to the right products","70","37.84"
"Money required to get medical card","63","34.05"
"Owning a firearm","62","33.51"
"Stigma","59","31.89"
"Workplace testing or other policies","48","25.95"
"Lack of knowledge","42","22.7"
"Place to consume cannabis","39","21.08"
"Other (please specify)","12","6.49"
"Previous bad experience","4","2.16"
