"q48","What is your top preferred method (that is, favorite method) of using cannabis? (Please select one)","n =  148"
"response","count","percent_responded"
"Smoke flower","53","35.81"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","26","17.57"
"Vape cartridges","24","16.22"
"Tinctures","19","12.84"
"Capsules","9","6.08"
"Vape flower","8","5.41"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","7","4.73"
"Salves/topicals","1","0.68"
"Transdermal patches","1","0.68"
