"q61","Do you face any of the following barriers for you to consume cannabis (Please select all that apply)","n =  565"
"response","count","percent_responded"
"Money to purchase products","287","50.8"
"Access to the right products","234","41.42"
"Money required to get medical card","181","32.04"
"Stigma","169","29.91"
"Owning a firearm","164","29.03"
"Workplace testing or other policies","136","24.07"
"Place to consume cannabis","115","20.35"
"Lack of knowledge","80","14.16"
"Other (please specify)","61","10.8"
"Previous bad experience","11","1.95"
