"q39","What is the primary health condition for which you find cannabis to be helpful? (Please select one)","n =  293"
"response","count","percent_responded"
"Posttraumatic stress disorder (PTSD)","102","34.81"
"Chronic pain","86","29.35"
"Anxiety","33","11.26"
"Depression","31","10.58"
"Insomnia","11","3.75"
"Bipolar/manic depression","8","2.73"
"Substance abuse/addiction","6","2.05"
"Cancer","4","1.37"
"Fibromyalgia/myositis","3","1.02"
"Multiple sclerosis","3","1.02"
"Cardiovascular disease","2","0.68"
"Arthritis","1","0.34"
"Gastrointestinal/digestive system disorders","1","0.34"
"HIV/AIDS","1","0.34"
"Hypertension","1","0.34"
