"q46","What information would you like to know related to cannabis to help you make a decision about what cannabis products to use? Please select all that apply.","n =  913"
"response","count","percent_responded"
"Different effects of different cannabinoids","646","70.76"
"Medical value of cannabis","517","56.63"
"Cultivation and extraction","429","46.99"
"Cannabis genetics","358","39.21"
"Cannabis and pharmaceutical drug interactions","336","36.8"
"Side effects of cannabis","279","30.56"
"Other (please specify)","53","5.81"
"Other (please list below)","40","4.38"
