"q44","Have you experienced any side effects from using cannabis? (Please select all that apply)","n =  78"
"response","count","percent_responded"
"Dry mouth","47","60.26"
"Changes in appetite","30","38.46"
"Increased energy","29","37.18"
"More or less talkative","25","32.05"
"Sleepiness/fatigue","20","25.64"
"Memory problems","10","12.82"
"Changes in libido","9","11.54"
"Other (please specify)","9","11.54"
"Difficulty concentrating","7","8.97"
"Feeling of being ""altered""","7","8.97"
"Heart racing/palpitations","7","8.97"
"Paranoia","7","8.97"
"Anxiety","6","7.69"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","6","7.69"
"Nausea","4","5.13"
"Racing thoughts","4","5.13"
"Tough to get started in the morning (lassitude) or ""couch lock""","4","5.13"
"Apathy","2","2.56"
"Dizziness","2","2.56"
"GI changes (constipation, diarrhea, abdominal discomfort)","2","2.56"
"Headache","2","2.56"
"Sweating","2","2.56"
