"q48","What are your general thoughts regarding the legalization of cannabis?","n =  820"
"response","count","percent_responded"
"About time","5","0.61"
"All for it","4","0.49"
"Great","4","0.49"
"Legalize it","4","0.49"
"Love it","4","0.49"
"Should be legal","4","0.49"
"yes","4","0.49"
"About time!","3","0.37"
"Good","3","0.37"
"Good ","3","0.37"
"I think it should be legal","3","0.37"
"It's about time!","3","0.37"
"It's about time.","3","0.37"
"Positive ","3","0.37"
"About time ","2","0.24"
"Agree","2","0.24"
"Awesome ","2","0.24"
"Do it","2","0.24"
"Finally","2","0.24"
"Finally!","2","0.24"
"for it","2","0.24"
"good","2","0.24"
"Happy","2","0.24"
"It's about time","2","0.24"
"It should be legal","2","0.24"
"It should be legalized ","2","0.24"
"It’s about time ","2","0.24"
"Long overdue","2","0.24"
"Long overdue.","2","0.24"
"positive","2","0.24"
"Positive","2","0.24"
"pro","2","0.24"
"Pro","2","0.24"
"Pro-legalization","2","0.24"
"Unsure","2","0.24"
"Very good ","2","0.24"
"Very happy","2","0.24"
"Yes","2","0.24"
"Yes!","2","0.24"
"100 for it","1","0.12"
"100% agree in medical use, want to see it legal for medical at the Federal level.  If it is legal for recreational use, users need to be at least 25 as it seems to have negative side effects more on a developing brain.  It is a lot safer than alcohol, but especially with a younger brain, it is not innocuous. ","1","0.12"
"100% for it","1","0.12"
"100% in favor. ","1","0.12"
"100% needs to happen, stigma needs to be eliminated ","1","0.12"
"100% positive.","1","0.12"
"100% pro","1","0.12"
"50 years overdue.","1","0.12"
"50/50 I want it to happen but I don’t want the standardization to limit quality. ","1","0.12"
"A positive turn for patients with a wide spectrum of issues. Less pharmies and more naturals! We've all seen the effects of too many pills on our neighbors, friends and family. Offer more alternatives and let people decide for themselves what works better for them and has less side effects.","1","0.12"
"• More and more people will use cannabis   • Cannibis legalization will usher in Americas new version of ""big tobacco""    • Prices of marijuana will increase and those who TRULY need it will suffer vs people who use it just to get high.   • Drug cartels and the black market will continue to function under the legalization of marijuana and will benefit.   • The number of fatal accidents with drivers testing positive for marijuana use has sky rocketed.     I am a medical marijuana patient, I do use it recreationally but it is going to do more harm then it does good and that is my personal opinion as well as factual studies that have proven legalization brings problems. ","1","0.12"
"About bloody time ","1","0.12"
"About Fucking Time","1","0.12"
"about time","1","0.12"
"About time !!","1","0.12"
"About time!  ","1","0.12"
"About time!  Of course, I am in Canada :)","1","0.12"
"about time. ","1","0.12"
"About time. Time to fight Big Pharma and make it federally legal so the V.A. could dispense it.","1","0.12"
"Absolutely","1","0.12"
"Alcohol is legal, and I consider them to be equal for recreational use.  I like that laws are being made to ensure safety.  I will continue to use my dispensary.","1","0.12"
"ALL FOR IT","1","0.12"
"All for national legalization","1","0.12"
"all in","1","0.12"
"All in!!!","1","0.12"
"Am all for it","1","0.12"
"amazing ","1","0.12"
"an idea who's time is thankfully here","1","0.12"
"As a medical patient I find access awesome but some of the dispensaries are more strict than others. SERA naturals for example is like fort nox and I feel as though I'm being treated like a criminal in there. Also, some of the workers at dispensaries (NETA) get personally offended if you don't like their product even if it is objectively not of good quality. It takes a bit to find places that have all around great quality products and selection. So far Revolutionary Clinics is my favorite but their edible selection isn't great.","1","0.12"
"As a Veteran with PTSD in a state where it isn't legal, I have to watch friends die due to opioid addictions rather than allow them to smoke a plant. Where is the logic in that? I don't smoke to get ""high"", I smoke to get ""normal"".  I am off of over 15 drugs with cannabis and I can be a father. Where on the ""legal"" drugs I was a zombie","1","0.12"
"As long as it doesn't interrupt the supply to people with medical cards I'm all for it.","1","0.12"
"Awesome","1","0.12"
"awesome ","1","0.12"
"awesome finally not a criminal love it and to the haters.i sing this song!!! LET IT GO!!! LET IT GO!!!! THE WEED IS FINALLY FREE YEAH!!!!!!!! ABOUT TIME!!!!! ","1","0.12"
"AWESOME SAUCE!!!!!","1","0.12"
"Been too long for legalization ","1","0.12"
"Being a byproduct of the hippie era, I've long been an advocate for legalization for both medical and recreational use. ","1","0.12"
"Best decision ever made.","1","0.12"
"Best news ever!!","1","0.12"
"Best thing ever. Should have happened year ago","1","0.12"
