"q20","What types of prescription medications are you currently taking for the health conditions and symptoms you face? (Please select all that apply)","n =  8"
"response","count","percent_responded"
"I don’t take any prescription medications","4","50"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","2","25"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","2","25"
"Anti-inflammatories","1","12.5"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","1","12.5"
"Antihypertensives","1","12.5"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","1","12.5"
"Beta Blockers","1","12.5"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","1","12.5"
"Muscle relaxants","1","12.5"
"Proton pump inhibitors","1","12.5"
"Statins (e.g. Lipitor, Crestor)","1","12.5"
