"chosen","count","percent_all","percent_responded"
"Anti-inflammatories",39,0.0984848484848485,0.253246753246753
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)",53,0.133838383838384,0.344155844155844
"Antiemetics",1,0.00252525252525253,0.00649350649350649
"Antihypertensives",7,0.0176767676767677,0.0454545454545455
"Antimigraine",5,0.0126262626262626,0.0324675324675325
"Antipsychotics (e.g. Abilify, Seroquel)",7,0.0176767676767677,0.0454545454545455
"Barbiturates (e.g. Floricet)",4,0.0101010101010101,0.025974025974026
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)",27,0.0681818181818182,0.175324675324675
"Beta Blockers",7,0.0176767676767677,0.0454545454545455
"Hormone replacement therapy (HRT)",1,0.00252525252525253,0.00649350649350649
"I have reduced my prescription medication use in the past",39,0.0984848484848485,0.253246753246753
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)",27,0.0681818181818182,0.175324675324675
"Muscle relaxants",32,0.0808080808080808,0.207792207792208
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)",36,0.0909090909090909,0.233766233766234
"Other (please specify)",7,0.0176767676767677,0.0454545454545455
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)",65,0.164141414141414,0.422077922077922
"Proton pump inhibitors",5,0.0126262626262626,0.0324675324675325
"Sedatives/hypnotics",10,0.0252525252525253,0.0649350649350649
"Statins (e.g. Lipitor, Crestor)",11,0.0277777777777778,0.0714285714285714
"Steroids, including steroid creams",6,0.0151515151515152,0.038961038961039
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)",7,0.0176767676767677,0.0454545454545455
