"q39","What is the primary health condition for which you find cannabis to be helpful? (Please select one)","n =  320"
"response","count","percent_responded"
"Chronic pain","100","31.25"
"Posttraumatic stress disorder (PTSD)","98","30.63"
"Anxiety","33","10.31"
"Insomnia","31","9.69"
"Depression","17","5.31"
"Arthritis","8","2.5"
"Bipolar/manic depression","6","1.88"
"Substance abuse/addiction","6","1.88"
"Cancer","3","0.94"
"Diabetes","3","0.94"
"Fibromyalgia/myositis","3","0.94"
"Attention deficit/hyperactivity disorder (ADHD)","2","0.62"
"Gastrointestinal/digestive system disorders","2","0.62"
"HIV/AIDS","2","0.62"
"Hypertension","2","0.62"
"Multiple sclerosis","2","0.62"
"Cardiovascular disease","1","0.31"
"Inflammatory bowel disease (IBD)","1","0.31"
