"q13","Where are the locations of your pain (please check all that apply)","n =  31"
"response","count","percent_responded"
"Lower back","20","64.52"
"Neck","20","64.52"
"Knee","16","51.61"
"Shoulder","16","51.61"
"Head/headache","14","45.16"
"Hips","14","45.16"
"General joint pain","13","41.94"
"Generalized muscle pain","13","41.94"
"Leg","13","41.94"
"Upper back","13","41.94"
"Hand","10","32.26"
"Arm","9","29.03"
"Foot","9","29.03"
"Wrist","8","25.81"
"Buttocks","5","16.13"
"Full body","4","12.9"
"Mouth/dental pain","4","12.9"
"Abdomen","3","9.68"
"Face","2","6.45"
"Genitalia","2","6.45"
"Other (please specify)","2","6.45"
"Stomach","2","6.45"
"Chest","1","3.23"
