"q61","What is the highest degree or level of school you have completed? If you are currently enrolled in school, please indicate the highest degree you have recieved.","n =  723"
"response","count","percent_responded"
"Bachelors degree","239","33.06"
"Some college, no degree","179","24.76"
"High school degree or equivalent (GED)","85","11.76"
"Associate degree","82","11.34"
"Masters degree","81","11.2"
"Prefer not to answer","18","2.49"
"Professional degree (MD, JD, DDS, DVM)","17","2.35"
"Less than high school diploma","15","2.07"
"Doctorate (Ph.D., EdD, etc)","7","0.97"
