"q61","What is the highest degree or level of school you have completed? If you are currently enrolled in school, please indicate the highest degree you have recieved.","n =  825"
"response","count","percent_responded"
"Bachelors degree","234","28.36"
"Some college, no degree","208","25.21"
"Masters degree","114","13.82"
"Associate degree","98","11.88"
"High school degree or equivalent (GED)","96","11.64"
"Professional degree (MD, JD, DDS, DVM)","26","3.15"
"Prefer not to answer","20","2.42"
"Doctorate (Ph.D., EdD, etc)","16","1.94"
"Less than high school diploma","12","1.45"
"Response","1","0.12"
