"q79","Were you exposed to any of the following during your service? (Please select all that apply)","n =  261"
"response","count","percent_responded"
"Burn Pits","134","51.34"
"Specific Environmental Hazards","67","25.67"
"I was not exposed to any of these","63","24.14"
"Asbestos","55","21.07"
"Radiation Exposure","30","11.49"
"Gulf war illness","23","8.81"
"Other (please specify)","19","7.28"
"contaminated drinking water at camp Lejelune","16","6.13"
"Gulf war illness in Afghanistan","11","4.21"
"Contact with mustard gas or lewisite","6","2.3"
"Children having birth defects like Spina Bifida","5","1.92"
"Agent Orange","3","1.15"
"Project 112/SHAD","1","0.38"
