"q7","Which of the following symptoms are most commonly associated with your primary health condition or underlying health conditions? (Please select all that apply)","n =  56"
"response","count","percent_responded"
"Pain","38","67.86"
"Depression/mood","37","66.07"
"Sleep/insomnia","35","62.5"
"Anxiety/panic attacks","30","53.57"
"Appetite/weight","26","46.43"
"Attention/concentration","23","41.07"
"Aggression","20","35.71"
"Inflammation","17","30.36"
"Headache","16","28.57"
"Spasms","11","19.64"
"Respiratory","8","14.29"
"Skin conditions","6","10.71"
"Nausea/vomiting","4","7.14"
"Ocular pressure","3","5.36"
"Other (please specify)","3","5.36"
"Drug withdrawal","1","1.79"
"Mania/psychosis","1","1.79"
