"q44","Have you experienced any side effects from using cannabis? (Please select all that apply)","n =  333"
"response","count","percent_responded"
"Dry mouth","236","70.87"
"Changes in appetite","122","36.64"
"Increased energy","120","36.04"
"More or less talkative","107","32.13"
"Sleepiness/fatigue","86","25.83"
"Changes in libido","45","13.51"
"Memory problems","36","10.81"
"Feeling of being ""altered""","35","10.51"
"Other (please specify)","34","10.21"
"Difficulty concentrating","30","9.01"
"Paranoia","29","8.71"
"Heart racing/palpitations","26","7.81"
"Tough to get started in the morning (lassitude) or ""couch lock""","23","6.91"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","21","6.31"
"Anxiety","16","4.8"
"Racing thoughts","15","4.5"
"Apathy","8","2.4"
"Nausea","8","2.4"
"Sweating","8","2.4"
"Dizziness","7","2.1"
"GI changes (constipation, diarrhea, abdominal discomfort)","5","1.5"
"Headache","5","1.5"
"Depression","4","1.2"
