"q38","Which health conditions do you find cannabis to be helpful in treating? (Please select all that apply)","n =  105"
"response","count","percent_responded"
"Chronic pain","72","68.57"
"Anxiety","68","64.76"
"Depression","66","62.86"
"Posttraumatic stress disorder (PTSD)","63","60"
"Arthritis","39","37.14"
"Insomnia","31","29.52"
"Attention deficit/hyperactivity disorder (ADHD)","18","17.14"
"Gastrointestinal/digestive system disorders","17","16.19"
"Cancer","16","15.24"
"Substance abuse/addiction","12","11.43"
"Other (please specify)","11","10.48"
"Fibromyalgia/myositis","9","8.57"
"Hypertension","9","8.57"
"Inflammatory bowel disease (IBD)","9","8.57"
"Diabetes","7","6.67"
"Reflux esophagitis","7","6.67"
"Bipolar/manic depression","6","5.71"
"Allergies","3","2.86"
"Eczema","3","2.86"
"Epilepsy","3","2.86"
"Respiratory problems","3","2.86"
"Cardiovascular disease","2","1.9"
"Alzheimer's","1","0.95"
"HIV/AIDS","1","0.95"
"Multiple sclerosis","1","0.95"
"Obesity","1","0.95"
