"q40","What symptoms do you find medical cannabis is most helpful in treating/alleviating? (Please select all that apply)","n =  391"
"response","count","percent_responded"
"Pain","234","59.85"
"Sleep/insomnia","227","58.06"
"Depression/mood","201","51.41"
"Anxiety/panic attacks","188","48.08"
"Aggression","104","26.6"
"Headache","90","23.02"
"Attention/concentration","84","21.48"
"Inflammation","77","19.69"
"Spasms","69","17.65"
"Appetite/weight","68","17.39"
"Nausea/vomiting","46","11.76"
"Other (please specify)","21","5.37"
"Ocular pressure","14","3.58"
"Mania/psychosis","13","3.32"
"Skin conditions","12","3.07"
"Respiratory","9","2.3"
"Seizures","5","1.28"
"Drug withdrawal","3","0.77"
