"q38","Which health conditions do you find cannabis to be helpful in treating? (Please select all that apply)","n =  185"
"response","count","percent_responded"
"Depression","148","80"
"Anxiety","145","78.38"
"Chronic pain","140","75.68"
"Posttraumatic stress disorder (PTSD)","115","62.16"
"Arthritis","70","37.84"
"Insomnia","69","37.3"
"Attention deficit/hyperactivity disorder (ADHD)","22","11.89"
"Hypertension","19","10.27"
"Substance abuse/addiction","19","10.27"
"Gastrointestinal/digestive system disorders","18","9.73"
"Fibromyalgia/myositis","14","7.57"
"Bipolar/manic depression","12","6.49"
"Other (please specify)","12","6.49"
"Reflux esophagitis","10","5.41"
"Cancer","8","4.32"
"Inflammatory bowel disease (IBD)","8","4.32"
"Respiratory problems","7","3.78"
"Cardiovascular disease","5","2.7"
"Allergies","4","2.16"
"Diabetes","4","2.16"
"Eczema","4","2.16"
"HIV/AIDS","3","1.62"
"Multiple sclerosis","3","1.62"
"Obesity","3","1.62"
"Epilepsy","2","1.08"
