"q38","Which health conditions do you find cannabis to be helpful in treating? (Please select all that apply)","n =  56"
"response","count","percent_responded"
"Chronic pain","40","71.43"
"Anxiety","32","57.14"
"Depression","29","51.79"
"Posttraumatic stress disorder (PTSD)","29","51.79"
"Arthritis","26","46.43"
"Insomnia","16","28.57"
"Attention deficit/hyperactivity disorder (ADHD)","7","12.5"
"Other (please specify)","7","12.5"
"Diabetes","5","8.93"
"Gastrointestinal/digestive system disorders","5","8.93"
"Fibromyalgia/myositis","4","7.14"
"Reflux esophagitis","4","7.14"
"Substance abuse/addiction","4","7.14"
"Cancer","3","5.36"
"Hypertension","3","5.36"
"Inflammatory bowel disease (IBD)","3","5.36"
"Respiratory problems","3","5.36"
"Obesity","2","3.57"
"Allergies","1","1.79"
"Bipolar/manic depression","1","1.79"
