"q45","What prescription medications are you currently taking for the health conditions and symptoms you face that you are actively trying to reduce the use of by using cannabis? (Please select all that apply)","n =  299"
"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","93","31.1"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","74","24.75"
"I have reduced my prescription medication use in the past","67","22.41"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","59","19.73"
"Anti-inflammatories","48","16.05"
"Muscle relaxants","47","15.72"
"I'm not trying to reduce any medication use","46","15.38"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","38","12.71"
"I don’t take any medications","37","12.37"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","32","10.7"
"Statins (e.g. Lipitor, Crestor)","26","8.7"
"Other (please specify)","19","6.35"
"Antihypertensives","14","4.68"
"Sedatives/hypnotics","14","4.68"
"Steroids, including steroid creams","14","4.68"
"Beta Blockers","13","4.35"
"Antimigraine","10","3.34"
"Insulin","8","2.68"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","8","2.68"
"Proton pump inhibitors","7","2.34"
"Antipsychotics (e.g. Abilify, Seroquel)","6","2.01"
"Barbiturates (e.g. Floricet)","5","1.67"
"Antiemetics","3","1"
"Hormone replacement therapy (HRT)","2","0.67"
