"q7","How does cannabis help your daily life? (Please select all that apply)","n =  442"
"response","count","percent_responded"
"Helps with physical symptoms (e.g. body pains, function, sensation)","416","94.12"
"Generally helps with quality of life","338","76.47"
"Helps with psychological symptoms (e.g. anxiety, stress, calm, sadness, energy)","309","69.91"
"Helps to reduce use of other prior medicines (non-opiates)","184","41.63"
"Helps to avoid starting other medicines (including opiates)","182","41.18"
"Helps to reduce use of opiates","162","36.65"
"Helps to reduce use of alcohol","115","26.02"
"Helps to reduce us of tobacco","45","10.18"
"Other (please specify)","15","3.39"
