"q7","What symptoms for the primary condition do you use 
cannabis to treat? Please select all that apply.","n =  187"
"response","count","percent_responded"
"Sleep","127","67.91"
"Anxiety","121","64.71"
"Depression","107","57.22"
"Pain","100","53.48"
"Inflammation","56","29.95"
"Headache","49","26.2"
"Nausea","41","21.93"
"Appetite/weight","37","19.79"
"Spasms","32","17.11"
"Attention/concentration","31","16.58"
"Aggression","22","11.76"
"No Symptoms","8","4.28"
"Other (please specify)","8","4.28"
"Ocular pressure","5","2.67"
"Drug withdrawl","3","1.6"
"Respiratory","3","1.6"
"Mainia/psychosis","2","1.07"
"Skin conditions","2","1.07"
