"q7","What symptoms for the primary condition do you use 
cannabis to treat? Please select all that apply.","n =  119"
"response","count","percent_responded"
"Anxiety","85","71.43"
"Sleep","81","68.07"
"Depression","67","56.3"
"Pain","64","53.78"
"Inflammation","40","33.61"
"Nausea","30","25.21"
"Headache","27","22.69"
"Spasms","23","19.33"
"Appetite/weight","21","17.65"
"Attention/concentration","21","17.65"
"Aggression","17","14.29"
"No Symptoms","6","5.04"
"Other (please specify)","3","2.52"
"Mainia/psychosis","2","1.68"
"Ocular pressure","2","1.68"
"Skin conditions","2","1.68"
"Drug withdrawl","1","0.84"
"Respiratory","1","0.84"
