"q6","Which is the primary health condition that causes you the most distress? (Please select one)","n =  185"
"response","count","percent_responded"
"Chronic pain","68","36.76"
"Posttraumatic stress disorder (PTSD)","59","31.89"
"Anxiety","19","10.27"
"Depression","16","8.65"
"Arthritis","3","1.62"
"Cancer","3","1.62"
"Multiple sclerosis","3","1.62"
"Cardiovascular disease","2","1.08"
"Attention deficit/hyperactivity disorder (ADHD)","1","0.54"
"Bipolar/manic depression","1","0.54"
"Diabetes","1","0.54"
"Fibromyalgia/myositis","1","0.54"
"Gastrointestinal/digestive system disorders","1","0.54"
"HIV/AIDS","1","0.54"
"Hypertension","1","0.54"
"Insomnia","1","0.54"
"Obesity","1","0.54"
"Reflux esophagitis","1","0.54"
"Respiratory problems","1","0.54"
"Substance abuse/addiction","1","0.54"
