"q44","Have you experienced any side effects from using cannabis? (Please select all that apply)","n =  391"
"response","count","percent_responded"
"Dry mouth","268","68.54"
"Increased energy","137","35.04"
"Changes in appetite","133","34.02"
"More or less talkative","133","34.02"
"Sleepiness/fatigue","109","27.88"
"Changes in libido","54","13.81"
"Feeling of being ""altered""","40","10.23"
"Other (please specify)","36","9.21"
"Memory problems","35","8.95"
"Difficulty concentrating","30","7.67"
"Paranoia","30","7.67"
"Heart racing/palpitations","24","6.14"
"Tough to get started in the morning (lassitude) or ""couch lock""","24","6.14"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","19","4.86"
"Anxiety","17","4.35"
"Racing thoughts","14","3.58"
"Dizziness","13","3.32"
"Apathy","12","3.07"
"Sweating","11","2.81"
"Nausea","10","2.56"
"Headache","8","2.05"
"Depression","6","1.53"
"GI changes (constipation, diarrhea, abdominal discomfort)","6","1.53"
