"q51","What type of cannabis advertising have you been exposed to in the past 30 days? Please check all that apply.","n =  170"
"response","count","percent_responded"
"Digitally on a cell phone, tablet, or computer (through email, text messages, websites, or social media)","72","42.35"
"Have not seen advertising","64","37.65"
"In magizines or newspapers","25","14.71"
"On billboards","21","12.35"
"On storefronts","19","11.18"
"At an event, like a concert, fair, rodeo, parade, or similar","17","10"
"In pamphlets or flyers","16","9.41"
"On street side marketing, like sandwich boards","13","7.65"
"On the radio","12","7.06"
"Other (please specify)","12","7.06"
"On television","9","5.29"
"Other (please specify below)","5","2.94"
"On signs being held by people on sidewalks (sign wavers)","2","1.18"
