"q19","What percent of your monthly cannabis purchases are through regulated sources (dispensaries, caregivers, etc.)","n =  825  avg =  NA"
"response","count","percent_responded"
"100","573","69.45"
"0","27","3.27"
"50","25","3.03"
"90","17","2.06"
"80","15","1.82"
"75","14","1.7"
"99","11","1.33"
"97","10","1.21"
"85","8","0.97"
"30","7","0.85"
"95","7","0.85"
"10","6","0.73"
"40","6","0.73"
"98","6","0.73"
"94","5","0.61"
"25","4","0.48"
"5","4","0.48"
"70","4","0.48"
"88","4","0.48"
"2","3","0.36"
"20","3","0.36"
"45","3","0.36"
"54","3","0.36"
"60","3","0.36"
"15","2","0.24"
"21","2","0.24"
"35","2","0.24"
"39","2","0.24"
"48","2","0.24"
"49","2","0.24"
"51","2","0.24"
"52","2","0.24"
"53","2","0.24"
"56","2","0.24"
"59","2","0.24"
"65","2","0.24"
"7","2","0.24"
"86","2","0.24"
"1","1","0.12"
"11","1","0.12"
"13","1","0.12"
"14","1","0.12"
"16","1","0.12"
"23","1","0.12"
"24","1","0.12"
"26","1","0.12"
"28","1","0.12"
"3","1","0.12"
"32","1","0.12"
"33","1","0.12"
"34","1","0.12"
"42","1","0.12"
"47","1","0.12"
"55","1","0.12"
"57","1","0.12"
"58","1","0.12"
"64","1","0.12"
"69","1","0.12"
"73","1","0.12"
"74","1","0.12"
"82","1","0.12"
"84","1","0.12"
"87","1","0.12"
"89","1","0.12"
"91","1","0.12"
"93","1","0.12"
"Open-Ended Response","1","0.12"
