"q54","What percent of your monthly purchases are through regulated sources (dispensary, retail establishment, caregiver/authorized private cultivator)?","n =  87  avg =  72.724"
"response","count","percent_responded"
"100","46","52.87"
"0","11","12.64"
"99","5","5.75"
"50","2","2.3"
"75","2","2.3"
"96","2","2.3"
"1","1","1.15"
"13","1","1.15"
"15","1","1.15"
"19","1","1.15"
"2","1","1.15"
"25","1","1.15"
"3","1","1.15"
"37","1","1.15"
"43","1","1.15"
"48","1","1.15"
"49","1","1.15"
"5","1","1.15"
"51","1","1.15"
"52","1","1.15"
"65","1","1.15"
"80","1","1.15"
"90","1","1.15"
"95","1","1.15"
"97","1","1.15"
