"q54","What percent of your monthly purchases are through regulated sources (dispensary, retail establishment, caregiver/authorized private cultivator)?","n =  265  avg =  61.857"
"response","count","percent_responded"
"100","121","45.66"
"0","45","16.98"
"50","9","3.4"
"10","8","3.02"
"75","7","2.64"
"1","6","2.26"
"98","6","2.26"
"25","5","1.89"
"30","5","1.89"
"15","4","1.51"
"12","3","1.13"
"2","3","1.13"
"4","3","1.13"
"90","3","1.13"
"18","2","0.75"
"26","2","0.75"
"5","2","0.75"
"6","2","0.75"
"80","2","0.75"
"82","2","0.75"
"89","2","0.75"
"95","2","0.75"
"97","2","0.75"
"17","1","0.38"
"20","1","0.38"
"23","1","0.38"
"3","1","0.38"
"32","1","0.38"
"33","1","0.38"
"40","1","0.38"
"51","1","0.38"
"52","1","0.38"
"61","1","0.38"
"65","1","0.38"
"67","1","0.38"
"73","1","0.38"
"8","1","0.38"
"81","1","0.38"
"85","1","0.38"
"87","1","0.38"
"94","1","0.38"
"96","1","0.38"
