"q41","What features are missing from your sources of information that you would like to see included?","n =  536"
"response","count","percent_responded"
"None","53","9.89"
"none","48","8.96"
"N/A","14","2.61"
"Nothing","14","2.61"
"not sure","9","1.68"
"nothing","9","1.68"
"na","7","1.31"
"n/a","6","1.12"
"None ","6","1.12"
"Not sure","6","1.12"
"Nothing ","6","1.12"
"I don't know","4","0.75"
"Don’t know","3","0.56"
"N/a","3","0.56"
"Na","3","0.56"
"None.","3","0.56"
"dosing","2","0.37"
"Free samples","2","0.37"
"I'd like a helpful newsletter from BASK.","2","0.37"
"i don't know","2","0.37"
"idk","2","0.37"
"A better product/company description ","1","0.19"
"A better way to i.d. strains than common names used.","1","0.19"
"a list of symptoms or diseases strains are helpful for","1","0.19"
"A site that offers evaluations of products for accuracy, testing, quality etc.  ","1","0.19"
"a site that provides accurate up to the minute state status on all the states and what is legal and what is not. States change things all the time, and looking for real time.  Ohio just changed their Hemp CBD law - I was clueless, and I am a Practitioner!","1","0.19"
"a step by step learning process for beginners that want relief without a high","1","0.19"
"aaa","1","0.19"
"Ability to get products from other states","1","0.19"
"Absolute levels and ratios of cbd, thc, cbdn, thca, cbda, terpenes etc","1","0.19"
"accuracy of info","1","0.19"
"Accurate estimates of  cannaboid content","1","0.19"
"Accurate in stock items","1","0.19"
"Accurate menus ","1","0.19"
"Accurate regional availability","1","0.19"
"Accurate specials","1","0.19"
"Actual information on flowers. Each of us has to experiment. ","1","0.19"
"all discounts in one place","1","0.19"
"All dispensary tests results should include terpene profile. Period!","1","0.19"
"Although most sites have a recommended dose for an ailment I would like to see more sites tell people to start with a low dose, 1mg. and slowly go up as symptoms inprove.","1","0.19"
"Anything new","1","0.19"
"apps have all types of info,features are good","1","0.19"
"assistance in obtaining mmj card","1","0.19"
"avaiability","1","0.19"
"Availability","1","0.19"
"Availability of products","1","0.19"
"avg cost","1","0.19"
"Be able to look up my medical condition and have recommendations for strains are reported to work best, not the hit and miss thing I've been doing for a year","1","0.19"
"Best sources","1","0.19"
"better breakdown of endocannabinoids in each strain","1","0.19"
"Better care for disabled and veterans who are low income","1","0.19"
"Better information on strains when purchasing seeds online ","1","0.19"
"Better menus ","1","0.19"
"Better quality","1","0.19"
"Better reporting of cannabinoids and terpenes levels. Date of harvest and where grown","1","0.19"
"better strain info","1","0.19"
"Bud history","1","0.19"
"Caffeine on edibles ","1","0.19"
"can't think of any","1","0.19"
"Can't think of anything","1","0.19"
"Can’t think of any","1","0.19"
"Cancer specialist ","1","0.19"
"Cannabinoids, Terpenes","1","0.19"
"Cannabis as food/nutrition (not ""drug"", not ""medicine"")","1","0.19"
"case studies, dosages for ailments and patient profiles","1","0.19"
"CBD related","1","0.19"
"CBG info","1","0.19"
"Charts showing mg to dose equivalents","1","0.19"
"Clear thc, cbd cannanoids,terpenes, heritage charts","1","0.19"
"Clone availability","1","0.19"
"coming soon and upcoming specials","1","0.19"
"Comparison of legal cbd to medical cbd","1","0.19"
"Complete breakdown of terpines in each strain. Specification of whether available strains are sun grown, organic, veganic or biodynamic. Also, whether pesticides are used in ANY ASPECT of the growing process of a particular strain. I am less interested in how lab tests come out. I'd rather have it not use pesticides at any phase in its growing process.","1","0.19"
"compound recipes for sx","1","0.19"
"Confidence in truthfulness","1","0.19"
"Consistency in package labeling.","1","0.19"
"Cooking with cannabis","1","0.19"
