"q67","Which VA do you go to?","n =  371"
"response","count","percent_responded"
"None","16","4.31"
"none","9","2.43"
"N/A","8","2.16"
"n/a","7","1.89"
"Providence","6","1.62"
"Worcester","6","1.62"
"Boston","4","1.08"
"Togus","4","1.08"
"Bedford","3","0.81"
"Leeds","3","0.81"
"American Lake","2","0.54"
"Baltimore ","2","0.54"
"Bedford, MA","2","0.54"
"Boston - JP","2","0.54"
"Boston JP","2","0.54"
"Fitchburg ","2","0.54"
"I dont","2","0.54"
"leeds","2","0.54"
"Loma Linda ","2","0.54"
"Lynn","2","0.54"
"Martinez, CA","2","0.54"
"na","2","0.54"
"Na","2","0.54"
"nj","2","0.54"
"No","2","0.54"
"Northampton","2","0.54"
"Northampton ","2","0.54"
"Pittsburgh","2","0.54"
"Portland","2","0.54"
"Providence ","2","0.54"
"Providence RI","2","0.54"
"Providence, R.I.","2","0.54"
"Raymond G Murphy","2","0.54"
"Savannah ","2","0.54"
"West Roxbury ","2","0.54"
"Aht aht ","1","0.27"
"Alaska","1","0.27"
"Albuquerque ","1","0.27"
"All mass clinics","1","0.27"
"Anne Arbor","1","0.27"
"Asheville, NC","1","0.27"
"Atlanta","1","0.27"
"Augusta","1","0.27"
"Baltimore VA Medical Center","1","0.27"
"Bay Pines","1","0.27"
"Beaumont TX","1","0.27"
"Bedford ","1","0.27"
"Bedford VA Hospital ","1","0.27"
"Bedford va medical ","1","0.27"
"Bedford, ma","1","0.27"
"boston","1","0.27"
"Boston & Worcester","1","0.27"
"Boston (JP/West Roxbury)","1","0.27"
"boston area","1","0.27"
"Boston MA","1","0.27"
"Boston WRox","1","0.27"
"Brewer","1","0.27"
"Brockton","1","0.27"
"Brockton ","1","0.27"
"Brockton MA","1","0.27"
"Brockton VA","1","0.27"
"Brockton, Ma","1","0.27"
"Brockton. Massachusetts","1","0.27"
"Brooksville","1","0.27"
"Burlington vermont","1","0.27"
"Campbell county  va","1","0.27"
"Captain James A lovell federal health care center","1","0.27"
"Caribou Maine","1","0.27"
"Castle Point, VAHVHCS","1","0.27"
"CBOC Yuma AZ","1","0.27"
"Chalmers P. Wilie Ambulatory Care Center","1","0.27"
"Charleston VA weapons station ","1","0.27"
"Charlie Norwood va","1","0.27"
"Cincinnati VA","1","0.27"
"Clairmont Rd, decatur","1","0.27"
"Clarksville ,Tn","1","0.27"
"Cleveland","1","0.27"
"columbia,sc","1","0.27"
"Conroe TX","1","0.27"
