"q46","Please rate the severity of the side effects you have faced with prescription medications compared to cannabis treatments:","n =  299  avg =  23.214"
"response","count","percent_responded"
"0","64","21.4"
"50","17","5.69"
"11","10","3.34"
"13","9","3.01"
"1","8","2.68"
"16","8","2.68"
"26","8","2.68"
"2","7","2.34"
"3","7","2.34"
"6","7","2.34"
"21","6","2.01"
"4","6","2.01"
"51","6","2.01"
"8","6","2.01"
"100","5","1.67"
"19","5","1.67"
"22","5","1.67"
"23","5","1.67"
"39","5","1.67"
"7","5","1.67"
"14","4","1.34"
"17","4","1.34"
"24","4","1.34"
"25","4","1.34"
"27","4","1.34"
"29","4","1.34"
"49","4","1.34"
"9","4","1.34"
"30","3","1"
"33","3","1"
"43","3","1"
"48","3","1"
"5","3","1"
"76","3","1"
"10","2","0.67"
"15","2","0.67"
"18","2","0.67"
"20","2","0.67"
"32","2","0.67"
"34","2","0.67"
"35","2","0.67"
"36","2","0.67"
"38","2","0.67"
"42","2","0.67"
"44","2","0.67"
"47","2","0.67"
"57","2","0.67"
"99","2","0.67"
"12","1","0.33"
"28","1","0.33"
"31","1","0.33"
"40","1","0.33"
"41","1","0.33"
"52","1","0.33"
"53","1","0.33"
"54","1","0.33"
"60","1","0.33"
"61","1","0.33"
"63","1","0.33"
"64","1","0.33"
"65","1","0.33"
"66","1","0.33"
"69","1","0.33"
"73","1","0.33"
"77","1","0.33"
"81","1","0.33"
"82","1","0.33"
"87","1","0.33"
"97","1","0.33"
"98","1","0.33"
