"q45","What prescription medications are you currently taking for the health conditions and symptoms you face that you are actively trying to reduce the use of by using cannabis? (Please select all that apply)","n =  217"
"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","73","33.64"
"I have reduced my prescription medication use in the past","62","28.57"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","52","23.96"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","51","23.5"
"Muscle relaxants","43","19.82"
"Anti-inflammatories","41","18.89"
"I don’t take any medications","32","14.75"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","28","12.9"
"I'm not trying to reduce any medication use","26","11.98"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","26","11.98"
"Other (please specify)","19","8.76"
"Statins (e.g. Lipitor, Crestor)","11","5.07"
"Sedatives/hypnotics","10","4.61"
"Steroids, including steroid creams","10","4.61"
"Antihypertensives","7","3.23"
"Antimigraine","7","3.23"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","7","3.23"
"Beta Blockers","6","2.76"
"Antipsychotics (e.g. Abilify, Seroquel)","5","2.3"
"Barbiturates (e.g. Floricet)","5","2.3"
"Proton pump inhibitors","5","2.3"
"Insulin","4","1.84"
"Antiemetics","3","1.38"
