"q44","Have you experienced any side effects from using cannabis? (Please select all that apply)","n =  148"
"response","count","percent_responded"
"Dry mouth","87","58.78"
"Changes in appetite","48","32.43"
"More or less talkative","47","31.76"
"Increased energy","39","26.35"
"Sleepiness/fatigue","28","18.92"
"Changes in libido","18","12.16"
"Memory problems","14","9.46"
"Difficulty concentrating","13","8.78"
"Other (please specify)","13","8.78"
"Feeling of being ""altered""","10","6.76"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","8","5.41"
"Tough to get started in the morning (lassitude) or ""couch lock""","8","5.41"
"Heart racing/palpitations","6","4.05"
"Dizziness","5","3.38"
"Anxiety","4","2.7"
"Apathy","4","2.7"
"Paranoia","4","2.7"
"Sweating","4","2.7"
"Headache","3","2.03"
"Depression","2","1.35"
"GI changes (constipation, diarrhea, abdominal discomfort)","2","1.35"
"Nausea","2","1.35"
"Racing thoughts","2","1.35"
