"q6","Which is the primary health condition that causes you the most distress? (Please select one)","n =  79"
"response","count","percent_responded"
"Chronic pain","28","35.44"
"Posttraumatic stress disorder (PTSD)","21","26.58"
"Anxiety","13","16.46"
"Depression","5","6.33"
"Bipolar/manic depression","2","2.53"
"Fibromyalgia/myositis","2","2.53"
"Substance abuse/addiction","2","2.53"
"Attention deficit/hyperactivity disorder (ADHD)","1","1.27"
"Cancer","1","1.27"
"Cardiovascular disease","1","1.27"
"HIV/AIDS","1","1.27"
"Insomnia","1","1.27"
"Multiple sclerosis","1","1.27"
